Vote,rank1,rank2,rank3,rank4,rank5,rank6
898,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
899,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
900,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
901,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX
902,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
903,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
904,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
905,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
906,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
907,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
908,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
909,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
910,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI
911,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
912,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
913,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR
914,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX
915,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
916,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
917,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,LUKE WOJCIECHOWSKI
918,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
919,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
920,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped
921,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR
922,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
923,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
924,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
925,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
926,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH
927,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
928,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
929,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
930,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
931,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
932,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI
933,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
934,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX
935,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
936,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
937,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
938,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
939,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX
940,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
941,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
942,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI
943,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY
944,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped
945,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
946,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
947,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
948,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
949,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
950,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
951,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
952,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES
953,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES
954,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
955,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
956,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
957,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
958,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
959,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY,skipped
960,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX
961,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped
962,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,RANDALL FOX
963,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
964,JASON TAYLOR,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI
965,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
966,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
967,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
968,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR
969,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
970,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
971,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI
972,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR
973,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
974,skipped,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped
975,JASON TAYLOR,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES
976,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped
977,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
978,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
979,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,skipped,skipped
980,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
981,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
982,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
983,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
984,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
985,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES
986,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped
987,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR
988,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
989,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
990,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
991,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
992,JASON TAYLOR,MIKE MCCURDY,JASON TAYLOR,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH
993,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI
994,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES
995,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
996,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,JASON TAYLOR,JOSIE KOVASH
997,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
998,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
999,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH
1000,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
