precinct,Precinct Pop.,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
464660,92.913264,14.427700999999999,70.000712,1.110433,0.0,2.236528,0.950681,0.479256,3.707953
475600,53.865354999999994,8.789774999999999,31.645632,0.209071,0.0,5.6861049999999995,0.895176,0.0,6.639595999999999
510110,49.96658299999999,7.494997000000001,34.144161999999994,3e-06,1e-06,5.829181999999999,0.0,2e-06,2.498236
510160,27.850417,3.3806,19.046745,0.0,0.0,2.108465,0.0,0.0,3.3146069999999996
510100,236.384172,38.170916999999996,166.52319900000003,5.518543000000001,0.433855,8.65253,0.0,4.00015,13.084977999999998
510200,99.78143800000001,13.514749,80.276707,0.0,0.0,0.989982,0.0,1.0,4.0
510410,70.296983,22.762866,37.220641,3.0,2.0,2.0,0.0,0.0,3.313476
510400,176.73923,43.237134,116.821657,4.0,0.0,5.0,0.0,0.0,7.680439
510940,12.410927000000001,0.171365,11.105463,0.0,0.0,0.0,0.0,0.0,1.134099
water,0.137899,0.040997,0.011181,0.052177999999999995,0.018635,0.003727,0.003727,0.0,0.007454
464300,0.175343,0.07514699999999999,0.07514699999999999,0.0,0.0,0.025049,0.0,0.0,0.0
464330,16.719891,4.1103559999999995,9.542871,0.163126,0.0,1.1418819999999998,0.081563,0.244689,1.435404
464600,49.748146,9.705719,33.205751,0.426396,0.00239,2.988357,0.213198,0.641984,2.564351
510310,36.037088,2.957896,32.226324,0.0,0.0,0.852868,0.0,0.0,0.0
510840,157.881023,11.634345,124.30687499999999,0.0,0.0,2.0,1.0,1.0,17.939803
303200,1365.02444,163.864372,517.692362,84.674042,3.0,488.611372,11.779618,6.4576080000000005,88.945066
464370,3.6437169999999997,1.5615929999999998,1.5615929999999998,0.0,0.0,0.520531,0.0,0.0,0.0
510300,460.09737599999994,78.40891099999999,353.819173,2.59027,0.0,0.147132,2.0,5.0,18.13189
510800,111.65990500000001,17.454045,88.00325600000001,0.40973,0.0,0.0,0.0,0.0,5.792873999999999
464010,15.643125000000001,7.427671,3.799912,1.0871769999999998,0.016579999999999998,2.298719,0.095576,0.08558099999999999,0.831909
464720,5.073376,3.909597,0.15358800000000003,0.002622,0.0,0.018421000000000003,0.001311,0.003933000000000001,0.983904
473930,290.581841,39.945909,158.27088400000002,7.40134,1.99761,60.628081,0.001268,2.001414,20.335335
301510,1225.3855889999998,147.70277099999998,602.106341,48.226417,1.388335,313.61834100000004,1.971118,13.387076,96.98519
300160,831.489983,70.16839,386.38068899999996,18.575716,0.0,288.276015,2.0,7.060707,59.028466
300100,987.8418029999999,62.008995,491.81985599999996,23.512368000000002,0.0,333.74002199999995,0.47028,4.760973,71.529309
301400,1115.422561,116.81913900000002,567.331775,25.888727999999997,1.552683,267.2168730000001,16.879849,8.215839,111.51767500000001
400200,1163.018662,115.593467,327.620386,534.6705320000001,1.538365,102.90580999999999,3.0,7.076733,70.61336899999999
400600,1111.0776099999998,152.380782,303.209084,450.47166300000004,1.0,91.487931,0.0,10.000008000000001,102.528142
300300,1109.36392,112.21677999999999,609.574526,8.021582,0.220103,273.16674099999994,16.0,5.108963,85.055225
400700,915.094698,105.33036799999999,146.92929900000001,548.609154,0.0,59.83148,1.0,9.0,44.394397
373100,1781.000119,912.000049,90.000049,575.0,8.0,136.0,8.0,12.0,40.000021
373110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400800,1483.692775,418.875939,151.514916,722.65553,0.0,85.95148599999999,27.362302,11.096383,66.23621899999999
401100,929.3075550000001,253.124131,96.485104,410.34453,4.0,91.048664,8.637698,13.903627,51.763801
415510,1958.6549890000001,956.278114,238.898589,583.693426,17.166759,64.58404200000001,24.334072,24.000554,49.699433
373300,56.0,16.0,18.0,14.0,4.0,0.0,0.0,0.0,4.0
361600,27.0,9.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0
410400,1933.034944,843.134828,109.0,766.958794,5.0,101.941322,18.0,18.0,71.0
373400,2782.912378,1739.503258,116.99042899999999,675.437828,5.999999,141.999976,24.999997999999998,22.0,55.98089
373600,2964.9927179999995,1816.3495699999999,117.044843,597.806916,14.000001,317.044848,33.612062,17.044824,52.089653999999996
410200,2509.0,1736.0,44.0,525.0,2.0,91.0,52.0,1.0,58.0
373700,2434.0074560000003,1971.650468,66.955176,266.193168,4.0,74.955176,20.38794,5.955176,23.910352
410110,2880.0,1878.0,53.0,714.0,7.0,95.0,46.0,10.0,77.0
420320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450820,15.999808,2.999964,0.0,6.999916,0.0,0.999988,0.0,0.0,4.99994
450800,1578.985174,96.986714,95.796116,131.531936,2.0,1209.861006,6.0,0.073582,36.735820000000004
484010,18.218948,6.625072,4.14067,0.0,1.656268,0.0,0.0,1.656268,4.14067
484020,3.781244,1.3749639999999999,0.8593299999999999,8.400000000000001e-05,0.343732,1.2e-05,0.0,0.343732,0.8593899999999999
450610,1478.3287890000001,185.96236199999998,331.974908,71.987454,7.0,818.404065,16.0,2.0,45.0
450600,909.7834,223.96258799999998,180.098218,34.979736,2.376656,429.286572,7.449376,2.869206,28.761048
450500,1831.2167979999997,388.03759899999994,386.901782,70.020264,0.623344,925.713439,16.550624,3.130794,40.238952
451000,818.0,214.0,147.0,15.0,3.0,408.0,6.0,1.0,24.0
452100,1235.7187790000003,313.90526800000004,213.222663,46.863849,0.9067149999999999,623.213814,2.900479,0.527956,34.178034999999994
451600,2349.108733,542.6608229999999,403.358543,66.99106,4.999879,1218.8521150000001,15.000166,6.997883,90.248264
451900,1319.792021,270.027248,180.502918,34.971954,3.0934049999999997,779.8730489999999,9.099357,1.474159,40.749931000000004
451700,1754.1884479999999,483.813894,301.45616,65.387692,2.378856,802.792286,31.651992,14.568284,52.139283999999996
453700,1595.070674,399.34941200000003,267.149748,88.59899200000001,5.0,721.160127,17.0,10.049916,86.762479
453500,3567.75786,1389.24378,438.14586,190.01326,8.0,1397.3519,28.0,4.00102,113.00204
458300,646.480058,189.081482,175.778772,77.604062,4.006741,169.571278,0.000749,1.009737,29.427236999999998
457900,914.8230590000001,286.406618,286.09879,149.749202,1.807888,137.078206,0.673137,3.673137,49.336081
456100,1916.3088619999999,708.3280579999999,317.76980999999995,292.82766300000003,3.0,495.99677799999995,8.612373,18.490507,71.283673
453600,1450.0,305.0,354.0,289.0,1.0,432.0,4.0,9.0,56.0
458500,193.0,42.0,53.0,26.0,0.0,55.0,1.0,1.0,15.0
410500,1961.344391,1158.483346,57.218287999999994,526.839207,3.7454159999999996,133.508209,8.343535,9.718494,63.48789599999999
410600,1865.728626,592.330338,181.176131,715.063867,1.0,296.46018100000003,8.411382,11.733618,59.553109
457800,585.414256,170.711896,166.711896,121.402376,1.676984,72.663488,2.0,7.415872,42.831744
457700,1331.585744,362.288104,413.288104,182.597624,0.323016,290.33651199999997,10.0,6.584128,66.168256
