election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Alaska_08162022_HouseofRepresentativesSpecial,0.7100331051583376,x,,,,https://arxiv.org/abs/2209.04764,,,,,3,4,0,315.0,51868.0,64677.0,137521.0,192289.0,False,55519.0,2.119,"Peltola, Mary S.",3,315.0,11715.0,100.0,0.0,11615.0,0.0,0.0,0.0,0.0,74840.0,91307.0,39.557,51.446,1
Moab_11022021_CityCouncil,0.5896805896805897,x,,,x,https://vixra.org/abs/2208.0166,"This was a sequential rcv election, but I only simulated the first round",,,,6,6,0,21.0,146.0,1194.0,1670.0,1847.0,False,99.0,3.611,JASON TAYLOR,5,21.0,57.0,2.0,0.0,55.0,0.0,0.0,0.0,0.0,696.0,908.0,38.453,51.797,1
PierceCounty_11042008_CountyExecutiveMember,0.8396993753253513,,,x,x,https://arxiv.org/abs/2209.04764,,,,,4,3,0,532.0,91567.0,153183.0,207868.0,312771.0,True,153183.0,2.204,Pat McCarthy,4,532.0,30494.0,186.0,0.0,30308.0,0.0,0.0,0.0,0.0,79235.0,136346.0,26.488,50.755,2
Burlington_03032009_Mayor,0.856759476685676,x,,x,x,https://arxiv.org/abs/2209.04764,,,,,5,5,0,4.0,1482.0,5585.0,7498.0,8984.0,False,2853.0,3.196,Bob Kiss,5,4.0,603.0,1.0,0.0,602.0,0.0,0.0,0.0,0.0,2585.0,4313.0,28.799,51.511,2
Aspen_2009_CityCouncil,0.9,,x,,x,https://rangevoting.org/Aspen09.html,https://www.preflib.org/dataset/00016,"This wasn't in the in FairVote database, since it used a strange set of rules. But the second round where the monotonicity failure happened, was identical to IRV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland_11022010_Mayor,0.9339479918933576,,,x,,https://arxiv.org/abs/2209.04764,,,,,10,3,1,355.0,17278.0,86361.0,102560.0,122268.0,True,86361.0,2.574,JEAN QUAN,10,355.0,13838.0,171.0,0.0,4522.0,0.0,9145.0,6698.0,2447.0,29266.0,53897.0,24.468,50.957,2
Berkeley_11082016_CityCouncilDistrict2,0.9417607223476298,,,x,,https://arxiv.org/abs/2209.04764,,,,,3,3,0,17.0,1872.0,3584.0,5272.0,8123.0,True,3584.0,2.236,CHERYL DAVILA,2,17.0,404.0,1.0,0.0,403.0,0.0,0.0,0.0,0.0,2215.0,3451.0,31.031,51.247,2
Minneapolis_11072017_Ward3CityCouncil,0.8804382855301321,,,x,,https://arxiv.org/abs/2209.04764,,,,,4,3,0,2.0,1979.0,5198.0,7613.0,9877.0,True,5198.0,2.336,Steve Fletcher,4,2.0,887.0,1.0,0.0,886.0,0.0,0.0,0.0,0.0,2709.0,4860.0,28.248,55.843,2
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT7,0.9315997253690353,,x,,,https://arxiv.org/abs/2209.04764,,,,,7,7,0,124.0,4320.0,27480.0,35077.0,43426.0,True,13443.0,4.236,MYRNA MELGAR,6,124.0,4401.0,35.0,0.0,4366.0,0.0,0.0,0.0,0.0,7881.0,18561.0,20.037,53.136,3
Minneapolis_11022021_CityCouncilWard3,0.20255415454251535,x,x,,,https://arxiv.org/abs/2209.04764,,,,,4,3,0,17.0,5836.0,4242.0,7517.0,14438.0,True,4242.0,1.88,Michael Rainville,4,17.0,782.0,1.0,0.0,781.0,0.0,0.0,0.0,0.0,6027.0,6907.0,45.17,54.988,1
Oakland_11082022_Schoolboarddistrict4,0.9955026133462987,x,,,x,https://arxiv.org/abs/2303.05985,,,,,3,5,0,145.0,7977.0,11858.0,18664.0,30983.0,False,11665.0,2.145,MIKE HUTCHINSON,3,145.0,1983.0,28.0,0.0,1955.0,0.0,0.0,0.0,0.0,8147.0,12421.0,30.664,50.521,3
Genola_11022021_CityCouncil,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,3,4,0,6.0,33.0,314.0,346.0,393.0,True,314.0,2.706,HALE ROBISON,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,52.116,52.116,1
Lehi_11022021_CityCouncil,0.8243451463790447,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,9,9,0,286.0,292.0,9849.0,10709.0,11471.0,True,7058.0,7.056,CHRIS CONDIE,8,286.0,523.0,26.0,0.0,497.0,0.0,0.0,0.0,0.0,2302.0,6187.0,21.088,59.53,1
Portland_06142022_SchoolboardAL,0.5463888888888889,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,29,7,1,122.0,735.0,4984.0,8167.0,9460.0,True,1583.0,3.377,"Lentz, Sarah M.",20,122.0,1558.0,10.0,0.0,1503.0,0.0,45.0,0.0,45.0,3263.0,4042.0,36.808,55.317,1
Portland_06142022_Schoolboarddistrict5,0.1246040126715945,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,14,5,1,8.0,712.0,685.0,1238.0,2131.0,True,383.0,2.399,"Brydon, Sarah M.",7,8.0,53.0,0.0,0.0,48.0,0.0,5.0,0.0,5.0,945.0,970.0,48.511,51.187,1
Springville_11022021_CityCouncil4yr,0.5509004042631386,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,7,7,0,108.0,296.0,5329.0,5790.0,6307.0,True,4267.0,5.776,MICHAEL SNELSON,6,108.0,286.0,15.0,0.0,271.0,0.0,0.0,0.0,0.0,1803.0,3581.0,29.856,62.246,1
Vineyard_11022021_CityCouncil,0.023778071334214,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,4,4,0,1.0,101.0,1250.0,1418.0,1540.0,True,785.0,3.271,MARDI SIFUENTES,2,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,757.0,765.0,49.835,50.462,1
