election,precinct,note1,note2,note3,note4,note5,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,mean_rankings_used,total_fully_ranked,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,total_posttally_exhausted_by_duplicate_rankings,Precinct Pop.,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
Oakland_11082022_Mayor,400900,,,,,,64.0,299.0,1807.0,1571.0,3.549,943.0,111.0,107.0,24.0,226.0,2192.0,64.0,252.0,18.0,0.0,154.0,80.0,41.0,39.0,0.0,884.222794,199.36746399999998,437.49420499999997,8.863456,66.121875,1.4961,80.457083,90.422611
Oakland_11082022_Mayor,336900,,,,,,14.0,96.0,649.0,560.0,3.543,323.0,10.0,17.0,7.0,31.0,801.0,14.0,63.0,0.0,0.0,43.0,20.0,15.0,5.0,0.0,1290.0,315.0,152.0,1.0,653.0,7.0,56.0,106.0
Oakland_11082022_Mayor,362500,,,,,,44.0,142.0,453.0,396.0,3.316,271.0,54.0,62.0,15.0,116.0,647.0,44.0,126.0,10.0,0.0,89.0,27.0,16.0,11.0,0.0,2764.9792239999997,224.998187,664.9948059999999,67.999657,154.998775,24.999706,1320.989759,305.998334
Oakland_11082022_Mayor,345100,,,,,,31.0,408.0,2486.0,1974.0,3.23,856.0,125.0,69.0,27.0,213.0,2997.0,31.0,261.0,13.0,0.0,178.0,70.0,41.0,29.0,0.0,1848.698812,412.31476999999995,518.209629,41.930555999999996,418.491134,7.535668,227.76362899999998,222.453426
Oakland_11082022_Mayor,362510,,,,,,36.0,162.0,828.0,698.0,3.466,432.0,75.0,67.0,12.0,141.0,1038.0,36.0,133.0,13.0,0.0,70.0,50.0,34.0,16.0,0.0,2204.891099,190.79616399999998,1029.192735,40.198028,82.336491,8.000294,615.410632,238.956755
Oakland_11082022_Mayor,310800,,,,,,1.0,38.0,193.0,156.0,3.052,49.0,8.0,6.0,0.0,14.0,243.0,1.0,12.0,0.0,0.0,6.0,6.0,4.0,2.0,0.0,497.0,270.0,79.0,0.0,40.0,2.0,14.0,92.0
Oakland_11082022_Mayor,225300,,,,,,9.0,94.0,737.0,627.0,3.441,295.0,23.0,20.0,4.0,46.0,867.0,9.0,65.0,2.0,0.0,48.0,15.0,11.0,4.0,0.0,1048.0,638.0,60.0,3.0,134.0,3.0,34.0,176.0
Oakland_11082022_Mayor,353310,,,,,,25.0,274.0,1644.0,1464.0,3.406,688.0,70.0,63.0,24.0,139.0,2008.0,25.0,206.0,13.0,0.0,145.0,48.0,30.0,18.0,0.0,2526.531376,554.0346480000001,488.52877,27.221394,985.567854,5.173634,234.741552,231.263524
Oakland_11082022_Mayor,361000,,,,,,54.0,237.0,1268.0,1089.0,3.402,605.0,104.0,106.0,31.0,221.0,1604.0,54.0,255.0,30.0,0.0,138.0,87.0,45.0,42.0,0.0,3133.230275,678.2782,466.53477499999997,127.604325,221.0,47.0,1279.812975,313.0
Oakland_11082022_Mayor,245300,,,,,,11.0,245.0,1235.0,867.0,2.915,301.0,33.0,29.0,17.0,73.0,1541.0,11.0,92.0,4.0,0.0,67.0,21.0,16.0,5.0,0.0,854.4768300000001,594.2606030000001,38.679949,1.0,95.525692,1.205892,16.480109,107.32458500000001
