elections,precinct,note1,note2,note3,note4,note5,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,mean_rankings_used,total_fully_ranked,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,total_posttally_exhausted_by_duplicate_rankings,Precinct Pop.,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races,Hispanic
1,345600,,,,,,3.0,188.0,416.0,330.0,2.235,330.0,102.0,5.0,3.0,110.0,625.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.266075,372.7084980000001,98.31927300000001,2.068539,120.127469,1.7519649999999998,0.89742,53.15816800000001,66.23474300000001
1,336900,,,,,,2.0,141.0,535.0,432.0,2.423,432.0,63.0,3.0,2.0,68.0,702.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,408.0,681.0,4.0,762.0,5.0,4.0,65.0,321.0
1,362500,,,,,,4.0,56.0,142.0,116.0,2.28,116.0,59.0,6.0,1.0,66.0,204.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.3941169999998,34.975438,402.626983,6.0,116.85132399999999,1.085752,4.976508,30.93207,865.946042
1,400900,,,,,,13.0,225.0,718.0,566.0,2.344,566.0,206.0,16.0,5.0,223.0,970.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.01298,144.254704,677.424667,1.611484,36.796718,1.0,0.091442,37.045230000000004,132.78873499999997
1,353800,,,,,,5.0,93.0,277.0,229.0,2.355,229.0,60.0,6.0,2.0,67.0,389.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.2305999999999,152.713451,275.533445,1.0,436.998593,1.970006,7.970006,28.06763,142.977469
1,213000,,,,,,0.0,125.0,192.0,145.0,2.063,145.0,61.0,1.0,2.0,63.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.8239850000001,390.2690179999999,32.230045999999994,0.638122,86.774992,1.98203,7.0066049999999995,21.586365999999998,41.33680599999999
1,345100,,,,,,6.0,146.0,583.0,456.0,2.412,456.0,120.0,8.0,1.0,129.0,753.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.0188369999998,292.496733,611.1399109999999,11.719238,542.030582,3.310168,9.265868,116.129741,301.926596
1,336910,,,,,,2.0,134.0,312.0,235.0,2.221,235.0,50.0,5.0,4.0,59.0,457.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.803896,296.824086,79.464894,3.0989999999999998,96.577796,1.025524,0.051048,20.66318,60.098367999999994
1,362510,,,,,,8.0,143.0,429.0,345.0,2.333,345.0,159.0,9.0,1.0,169.0,592.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081.251331,52.069936,1031.833911,0.0,51.323766,10.634021,0.0,33.40356299999999,901.986134
1,336400,,,,,,2.0,103.0,432.0,330.0,2.42,330.0,81.0,2.0,4.0,85.0,563.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.326335,221.930613,442.257705,3.366225,189.507196,1.127491,4.127491,63.244040999999996,474.765573
1,362000,,,,,,5.0,42.0,115.0,87.0,2.23,87.0,48.0,6.0,2.0,56.0,166.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.28975,27.492317,240.429046,2.0,146.000678,9.0,0.0,21.0,1340.367709
1,225810,,,,,,2.0,148.0,375.0,301.0,2.288,301.0,57.0,3.0,0.0,60.0,547.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.4919530000001,496.969853,101.993683,2.236242,129.09144799999999,0.0,4.860925,47.674687999999996,89.665114
1,353300,,,,,,3.0,84.0,326.0,265.0,2.4359999999999995,265.0,42.0,5.0,1.0,48.0,432.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.830147,182.10661600000003,181.040187,3.948061,272.61054,3.0212440000000003,6.4776370000000005,46.057099,110.568763
1,344600,,,,,,3.0,172.0,476.0,352.0,2.274,352.0,76.0,8.0,3.0,86.0,668.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.931545,486.014229,153.36253499999998,5.1203389999999995,259.73506499999996,0.446014,2.80919,75.054345,92.389828
1,361500,,,,,,8.0,133.0,394.0,322.0,2.345,322.0,156.0,12.0,7.0,170.0,546.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212.885551,66.007399,1023.801016,11.998511,80.99403600000001,34.989605,6.0,65.001491,1924.093493
1,335900,,,,,,4.0,120.0,421.0,334.0,2.382,334.0,102.0,5.0,2.0,108.0,558.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.363359,168.996609,716.36675,2.0,105.0,0.0,3.0,71.0,110.0
1,353310,,,,,,6.0,161.0,591.0,476.0,2.406,476.0,121.0,10.0,8.0,138.0,782.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2382.338211,328.96556100000004,488.329748,5.971866,1189.801083,5.0,15.543607,69.112787,279.613559
1,310300,,,,,,2.0,111.0,465.0,357.0,2.423,357.0,88.0,8.0,1.0,95.0,599.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.922229,358.987084,502.59755300000006,4.912872,54.166058,2.518668,3.532643,66.25691800000001,128.950433
1,224800,,,,,,3.0,150.0,265.0,197.0,2.103,197.0,53.0,3.0,4.0,59.0,427.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.9020320000001,340.645078,121.68343,3.9754039999999997,161.503744,0.724158,3.0442220000000004,31.765105999999996,99.56089
1,344100,,,,,,6.0,107.0,297.0,239.0,2.298,239.0,95.0,10.0,7.0,108.0,414.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.8836250000002,120.919664,398.249497,4.0,412.89246499999996,16.0,1.034831,52.054054,440.733114
1,335910,,,,,,1.0,12.0,65.0,56.0,2.571,56.0,8.0,3.0,1.0,12.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.629948,26.689856,67.98455200000001,0.0,55.95905,0.0,0.0,8.99649,17.0
1,335400,,,,,,13.0,188.0,813.0,647.0,2.437,647.0,157.0,18.0,9.0,182.0,1044.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.8556389999999,190.752166,697.555461,3.004992,117.07518900000002,1.149653,17.002496,61.560013999999995,285.755668
1,361000,,,,,,7.0,114.0,425.0,351.0,2.422,351.0,110.0,9.0,5.0,122.0,559.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.2077160000003,328.522045,315.793167,3.0,206.305568,14.220632,1.0,44.012418,1625.3538859999999
