election,competitive_ratio,total_rankings_used,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,total_rankings_skipped_by_tally,total_rankings_stalled_after_winner,total_rankings_stalled_after_runner_up,total_rankings_tallied,total_ballots_with_rankings_skipped_by_tally,total_ballots_with_rankings_stalled_after_winner,total_ballots_with_rankings_stalled_after_runner_up,total_ballots_with_fav_eliminated_and_second_not_tallied,total_ballots_with_elimination_and_next_not_tallied,n_candidates,rank_limit,come_from_behind,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_undervote,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Alaska_08162022_HouseofRepresentativesSpecial,0.7099038245887149,1757491,x,,,,https://arxiv.org/abs/2209.04764,,,,,1160107,102651,70887,423846,192289,65739,48816,192289,192289,3,4,False,0,315.0,51868.0,64677.0,137521.0,4097.0,761.0,5605.0,10055.0,2777.0,192289.0,False,55519.0,2.119,"Peltola, Mary S.",3,398.0,11793.0,48.0,156.0,11589.0,0.0,0.0,0.0,0.0,74820.0,91277.0,39.563,51.476,1
Moab_11022021_CityCouncil,0.5904059040590406,6733,x,,,x,https://vixra.org/abs/2208.0166,"This was a sequential rcv election, but I only simulated the first round",,,,80,2083,2091,2479,63,775,750,514,787,6,6,False,0,21.0,146.0,1194.0,1670.0,39.0,38.0,499.0,558.0,16.0,1847.0,False,99.0,3.611,JASON TAYLOR,5,21.0,58.0,2.0,1.0,55.0,0.0,0.0,0.0,0.0,696.0,907.0,38.453,51.769,1
PierceCounty_11042008_CountyExecutiveMember,0.839645971625667,1318576,,,x,x,https://arxiv.org/abs/2209.04764,,,,,329666,151948,132336,704626,312771,101474,81313,312771,312771,4,3,True,0,532.0,91567.0,153183.0,207868.0,19146.0,1226.0,548.0,20711.0,13107.0,312771.0,True,153183.0,2.204,Pat McCarthy,4,594.0,30460.0,186.0,0.0,30274.0,0.0,0.0,0.0,0.0,79223.0,136334.0,26.49,50.755,2
Burlington_03032009_Mayor,0.856759476685676,19732,x,,x,x,https://arxiv.org/abs/2209.04764,,,,,2342,3517,2532,11341,1837,1901,1353,2298,3018,5,5,True,0,4.0,1482.0,5585.0,7498.0,0,6.0,108.0,113.0,4.0,8984.0,False,2853.0,3.196,Bob Kiss,5,7.0,605.0,1.0,4.0,600.0,0.0,0.0,0.0,0.0,2585.0,4310.0,28.809,51.506,2
Aspen_2009_CityCouncil,0.9,0,,x,,x,https://rangevoting.org/Aspen09.html,https://www.preflib.org/dataset/00016,"This wasn't in the in FairVote database, since it used a strange set of rules. But the second round where the monotonicity failure happened, was identical to IRV",,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland_11022010_Mayor,0.9344206106652195,570713,,,x,,https://arxiv.org/abs/2209.04764,,,,,144671,64552,73989,287501,122268,41297,42591,122268,122268,10,3,True,1,355.0,17278.0,86361.0,102560.0,9862.0,1067.0,481.0,11205.0,2306.0,122268.0,True,86361.0,2.574,JEAN QUAN,10,404.0,13825.0,171.0,0.0,4522.0,0.0,9132.0,6698.0,2434.0,29244.0,53875.0,24.46,50.954,2
Berkeley_11082016_CityCouncilDistrict2,0.9417607223476298,34396,,,x,,https://arxiv.org/abs/2209.04764,,,,,10617,4272,4645,14862,8123,2765,2620,8123,8123,3,3,True,0,17.0,1872.0,3584.0,5272.0,1252.0,29.0,36.0,1311.0,968.0,8123.0,True,3584.0,2.236,CHERYL DAVILA,2,23.0,404.0,1.0,0.0,403.0,0.0,0.0,0.0,0.0,2215.0,3451.0,31.057,51.293,2
Minneapolis_11072017_Ward3CityCouncil,0.880722114764668,22789,,,x,,https://arxiv.org/abs/2209.04764,,,,,348,5028,4938,12475,293,3469,2927,2860,3220,4,3,True,0,2.0,1979.0,5198.0,7613.0,249.0,15.0,20.0,282.0,285.0,9877.0,True,5198.0,2.336,Steve Fletcher,4,4.0,887.0,1.0,0.0,886.0,0.0,0.0,0.0,0.0,2708.0,4859.0,28.244,55.844,2
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT7,0.9306581886922152,473925,,x,,,https://arxiv.org/abs/2209.04764,,,,,271282,50413,47683,104547,43426,14601,13803,43426,43426,7,7,True,0,124.0,4320.0,27480.0,35077.0,1106.0,295.0,1431.0,2620.0,3970.0,43426.0,True,13443.0,4.236,MYRNA MELGAR,6,206.0,4366.0,32.0,46.0,4288.0,0.0,0.0,0.0,0.0,7869.0,18544.0,20.048,53.159,3
Minneapolis_11022021_CityCouncilWard2,0.9728789986091794,21611,x,x,,,https://arxiv.org/abs/2209.04764,,,,,723,4404,3937,12547,591,2939,2673,2540,3264,5,3,False,1,12.0,2211.0,4316.0,7316.0,266.0,23.0,30.0,313.0,268.0,9799.0,False,4316.0,2.22,Robin Wonsley Worlobah,5,20.0,1431.0,4.0,0.0,1181.0,0.0,246.0,150.0,96.0,2760.0,4053.0,29.019,50.161,1
Oakland_11082022_Schoolboarddistrict4,0.9965903555772041,276054,x,,,x,https://arxiv.org/abs/2303.05985,,,,,186697,12579,12923,63855,30983,7895,7942,30983,30983,3,5,True,0,145.0,7977.0,11858.0,18664.0,603.0,254.0,304.0,1089.0,4269.0,30983.0,False,11665.0,2.145,MIKE HUTCHINSON,3,176.0,1986.0,19.0,13.0,1954.0,0.0,0.0,0.0,0.0,8132.0,12398.0,30.643,50.497,3
Genola_11022021_CityCouncil,0,1058,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,374,219,465,0,205,137,84,137,3,4,False,0,6.0,33.0,314.0,346.0,6.0,6.0,134.0,146.0,9.0,393.0,True,314.0,2.706,HALE ROBISON,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,52.116,52.116,1
Lehi_11022021_CityCouncil,0.8241645244215938,80021,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,5493,32695,20432,21401,3108,5852,3925,3530,5941,9,9,False,0,286.0,292.0,9849.0,10709.0,338.0,378.0,246.0,834.0,269.0,11471.0,True,7058.0,7.056,CHRIS CONDIE,8,294.0,536.0,19.0,29.0,488.0,0.0,0.0,0.0,0.0,2302.0,6172.0,21.104,59.506,1
Payson_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab3,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland_06142022_SchoolboardAL,0.5461367426347971,49875,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,12651,8912,7210,21102,9454,3810,2845,9457,9458,29,7,False,1,122.0,735.0,4984.0,8167.0,154.0,166.0,148.0,439.0,473.0,9460.0,True,1583.0,3.377,"Lentz, Sarah M.",12,134.0,1557.0,9.0,12.0,1498.0,0.0,38.0,0.0,38.0,3263.0,4039.0,36.858,55.359,1
Portland_06142022_Schoolboarddistrict5,0.12473572938689217,9061,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,2245,1499,810,4507,2127,664,377,2127,2128,14,5,False,1,8.0,712.0,685.0,1238.0,36.0,13.0,15.0,63.0,175.0,2131.0,True,383.0,2.399,"Brydon, Sarah M.",5,13.0,52.0,0.0,0.0,48.0,0.0,4.0,0.0,4.0,944.0,969.0,48.585,51.243,1
Springville_11022021_CityCouncil4yr,0.5507352941176471,35978,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,1738,14889,8987,10364,1139,3382,2060,1712,2777,7,7,False,0,108.0,296.0,5329.0,5790.0,143.0,175.0,125.0,375.0,160.0,6307.0,True,4267.0,5.776,MICHAEL SNELSON,6,111.0,291.0,14.0,10.0,267.0,0.0,0.0,0.0,0.0,1803.0,3579.0,29.871,62.298,1
Vineyard_11022021_CityCouncil,0.023778071334214,5006,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,110,2107,813,1976,102,984,322,389,419,4,4,False,0,1.0,101.0,1250.0,1418.0,15.0,4.0,11.0,28.0,20.0,1540.0,True,785.0,3.271,MARDI SIFUENTES,2,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,757.0,765.0,49.835,50.462,1
Vineyard_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodlandHills_11022021_CityCouncil,0.5247524752475248,2115,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,15,812,421,867,15,357,175,147,186,4,4,False,0,11.0,69.0,471.0,577.0,9.0,11.0,2.0,21.0,2.0,658.0,True,391.0,3.178,JANET LUNT,3,11.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,265.0,415.0,41.085,65.665,1
Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES,0.006490213974241963,121000,,,,,,,,,,41654,23512,8935,46899,19811,9615,3574,19811,19811,9,5,False,1,35.0,3825.0,10613.0,15951.0,866.0,137.0,127.0,1100.0,17.0,19811.0,True,5788.0,2.991,Joseph R. Biden,2,40.0,35.0,0.0,1.0,13.0,0.0,21.0,0.0,21.0,9861.0,9872.0,49.919,50.063,1
Alaska_11082022_GovernorLieutenantGovernor,0,2436613,,,,,,,,,,1617310,140406,107748,571149,266693,83296,63838,266693,266693,4,5,False,0,307.0,87259.0,70175.0,177485.0,2416.0,811.0,4517.0,7350.0,1781.0,266693.0,True,47992.0,2.125,Dunleavy/Dahlstrom,1,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132662.0,132662.0,50.19,50.19,1
Alaska_11082022_HouseDistrict1,0,56818,,,,,,,,,,41347,1070,812,13589,6888,1048,773,6888,6888,2,3,False,0,3.0,4926.0,34.0,1787.0,40.0,3.0,65.0,107.0,174.0,6888.0,True,1751.0,1.271,"Ortiz, Daniel H. ""Dan""",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519.0,3519.0,52.444,52.444,1
Alaska_11082022_HouseDistrict10,0,61246,,,,,,,,,,45947,2091,872,12336,7153,1452,736,7153,7153,3,4,False,0,3.0,4033.0,1419.0,2788.0,52.0,7.0,55.0,112.0,330.0,7153.0,True,1383.0,1.622,"Johnson, Craig W.",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3505.0,3505.0,51.431,51.431,1
Alaska_11082022_HouseDistrict11,0.3952015994668444,70454,,,,,,,,,,49202,2674,1949,16629,8190,2074,1178,8190,8190,3,4,True,0,4.0,3945.0,1566.0,3750.0,26.0,8.0,78.0,109.0,493.0,8190.0,True,1533.0,1.696,"Coulombe, Julie",3,10.0,444.0,0.0,2.0,442.0,0.0,0.0,0.0,0.0,2984.0,3678.0,38.819,50.78,2
Alaska_11082022_HouseDistrict12,0,55597,,,,,,,,,,43400,1108,0,11089,6774,1071,0,6774,6774,2,3,False,0,1.0,4920.0,50.0,1569.0,42.0,1.0,40.0,82.0,285.0,6774.0,True,1509.0,1.249,"Schrage, Calvin R.",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825.0,3825.0,58.982,58.982,1
Alaska_11082022_HouseDistrict13,0,47595,,,,,,,,,,34753,878,639,11325,5790,830,591,5790,5790,2,3,False,0,3.0,4156.0,64.0,1386.0,41.0,3.0,48.0,89.0,247.0,5790.0,True,1320.0,1.261,"Josephson, Andy",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.0,2909.0,52.519,52.519,1
Alaska_11082022_HouseDistrict14,0,50198,,,,,,,,,,36963,976,411,11848,6155,939,382,6155,6155,2,3,False,0,3.0,4407.0,43.0,1304.0,29.0,4.0,55.0,83.0,441.0,6155.0,True,1251.0,1.235,"Galvin, Alyse S.",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.0,3816.0,66.854,66.854,1
Alaska_11082022_HouseDistrict15,0.36597393448397325,66549,,,,,,,,,,46311,2584,1938,15716,7709,2029,1115,7709,7709,3,4,True,0,6.0,3659.0,1528.0,3625.0,44.0,13.0,75.0,126.0,422.0,7709.0,True,1485.0,1.713,"McKay, Thomas W. ""Tom""",3,11.0,317.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,2823.0,3483.0,38.799,50.05,2
Alaska_11082022_HouseDistrict16,0,65982,,,,,,,,,,51970,996,0,13016,8068,955,0,8068,8068,2,3,False,0,0,6016.0,55.0,1690.0,35.0,1.0,43.0,76.0,362.0,8068.0,True,1597.0,1.226,"Armstrong, Jennifer ""Jennie""",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.0,4244.0,55.088,55.088,1
Alaska_11082022_HouseDistrict17,0,53584,,,,,,,,,,41266,1641,0,10677,6465,1610,0,6465,6465,2,3,False,0,6.0,2664.0,35.0,2781.0,33.0,9.0,52.0,87.0,1014.0,6465.0,True,2762.0,1.516,"Fields, William Z. ""Zack""",1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,3030.0,55.729,55.729,1
Alaska_11082022_HouseDistrict18,0.5951742627345844,20011,,,,,,,,,,13805,938,511,4757,2297,669,283,2297,2297,3,4,True,0,2.0,971.0,576.0,1151.0,26.0,5.0,37.0,65.0,175.0,2297.0,True,560.0,1.823,"Groh, Cliff",3,2.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,743.0,1046.0,35.047,51.936,2
Alaska_11082022_HouseDistrict19,0,30793,,,,,,,,,,22500,1214,376,6703,3728,1192,367,3728,3728,2,3,False,0,10.0,1512.0,34.0,1561.0,12.0,11.0,59.0,77.0,647.0,3728.0,True,1547.0,1.515,"Mina, Genevieve G.",1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,2260.0,73.88,73.88,1
Alaska_11082022_HouseDistrict2,0,61878,,,,,,,,,,48471,1042,0,12365,7567,1018,0,7567,7567,2,3,False,0,1.0,5502.0,32.0,1644.0,48.0,1.0,50.0,99.0,420.0,7567.0,True,1611.0,1.234,"Himschoot, Rebecca",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.0,4164.0,58.319,58.319,1
