election_name,elections,precinct,note1,note2,note3,note4,note5,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,mean_rankings_used,total_fully_ranked,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_undervote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,total_posttally_exhausted_by_duplicate_rankings,Precinct Pop.,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races,Hispanic
"Oakland_11082022_Schoolboarddistrict4,",1,213600,,,,,,9.0,783.0,1803.0,1043.0,2.1,1029.0,34.0,19.0,18.0,67.0,3051.0,459.0,9.0,162.0,2.0,0.0,160.0,0.0,0.0,0.0,0.0,1110.9540430000002,733.779475,29.768383999999998,1.221048,123.956044,3.7319519999999997,7.0,116.52658200000002,94.97055799999998
"Oakland_11082022_Schoolboarddistrict4,",1,244000,,,,,,7.0,671.0,1245.0,816.0,2.075,801.0,39.0,12.0,20.0,68.0,2242.0,323.0,7.0,111.0,2.0,0.0,109.0,0.0,0.0,0.0,0.0,1162.669398,661.997794,102.88153799999999,1.130404,163.167103,0.0,7.6509160000000005,108.913257,116.928386
"Oakland_11082022_Schoolboarddistrict4,",1,344800,,,,,,17.0,517.0,1335.0,887.0,2.197,879.0,44.0,25.0,32.0,90.0,2161.0,302.0,17.0,177.0,2.0,0.0,175.0,0.0,0.0,0.0,0.0,890.7490160000001,477.5009289999999,75.12498,1.0,142.036242,1.694041,3.804283,82.601838,106.98670299999999
"Oakland_11082022_Schoolboarddistrict4,",1,244810,,,,,,0.0,66.0,122.0,65.0,1.995,65.0,7.0,1.0,2.0,10.0,210.0,22.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,367.0,213.0,14.0,0.0,41.0,0.0,0.0,48.0,51.0
"Oakland_11082022_Schoolboarddistrict4,",1,345100,,,,,,21.0,754.0,1844.0,1203.0,2.168,1181.0,79.0,31.0,38.0,139.0,2997.0,385.0,21.0,209.0,2.0,0.0,207.0,0.0,0.0,0.0,0.0,1848.698812,382.62813500000004,501.257548,11.373302,413.956698,6.513168,6.853483000000001,109.11207,417.004408
"Oakland_11082022_Schoolboarddistrict4,",1,245100,,,,,,5.0,617.0,1435.0,898.0,2.137,885.0,38.0,11.0,16.0,63.0,2306.0,250.0,5.0,159.0,3.0,0.0,156.0,0.0,0.0,0.0,0.0,803.996026,502.09974500000004,47.425956,0.68262,82.82184400000001,6.0,10.569656,83.992965,70.40324
"Oakland_11082022_Schoolboarddistrict4,",1,244300,,,,,,10.0,1023.0,2288.0,1489.0,2.143,1466.0,58.0,20.0,27.0,99.0,3890.0,575.0,10.0,267.0,2.0,0.0,265.0,0.0,0.0,0.0,0.0,1535.031055,944.930749,101.99747,1.0,209.165247,0.0,15.886171000000001,129.395435,132.65598300000002
"Oakland_11082022_Schoolboarddistrict4,",1,345900,,,,,,6.0,427.0,792.0,556.0,2.104,548.0,38.0,13.0,14.0,61.0,1411.0,189.0,6.0,89.0,1.0,0.0,88.0,0.0,0.0,0.0,0.0,908.8531609999999,387.871278,119.13000600000001,0.0,201.85148700000005,4.0,4.008254,63.72881700000001,128.26331900000002
"Oakland_11082022_Schoolboarddistrict4,",1,344400,,,,,,6.0,404.0,907.0,557.0,2.117,546.0,36.0,10.0,14.0,59.0,1509.0,196.0,6.0,97.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1124.494779,596.496498,100.82345900000001,4.2114460000000005,157.06819900000002,8.976685,9.317169,92.63594900000001,154.965374
"Oakland_11082022_Schoolboarddistrict4,",1,213100,,,,,,6.0,216.0,446.0,283.0,2.095,273.0,11.0,9.0,5.0,25.0,803.0,139.0,6.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,1398.3619939999999,904.207232,46.109407,0.0,174.13386,2.0,31.797271,132.728242,107.385982
